Time,Vehicle,Driver,Date,Year,Engine Size (L),HP,Torque (Nm),0-100,Price (EUR)
6:48.047,Mercedes-AMG GT Black Series,Maro Engel,2020-11-04,2021,4.0,720.0,800.0,3.1,276250.0
6:49.275,Chevrolet Corvette ZR1X,Drew Cattell,2025-06,2023,5.5,625.0,881.0,2.6,72250.0
6:49.42,Lamborghini Aventador SVJ LP770-4 (2018),Marco Mapelli,2018-07-26,2021,6.5,759.0,720.0,2.8,440104.5
6:50.763,Chevrolet Corvette ZR1,Brian Wallace,2025-06,2023,5.5,625.0,881.0,2.6,72250.0
6:52.072,Ford Mustang GTD,Dirk Müller,2025-05-01,2022,5.0,460.0,569.0,4.3,33150.0
6:52.54,Mercedes-AMG GT Black Series,Christian Gebhardt,2021-07-07,2021,4.0,720.0,800.0,3.1,276250.0
6:57.685,Ford Mustang GTD,Dirk Müller,2024-08-07,2022,5.0,460.0,569.0,4.3,33150.0
6:57,Porsche 918 Spyder,Marc Lieb,2013-09-04,2015,4.6,887.0,1280.0,2.2,1530000.0
6:58.70,Ferrari 296 GTB,Christian Gebhardt,2023-06-07,2022,3.9,661.0,761.0,3.0,283687.5
6:59.927,"Porsche 911 GT3 (992.1, 2022)",Lars Kern,2020-09-15,2022,3.0,379.0,449.0,4.0,86020.0
7:00.03,Ferrari 488 Pista,Christian Gebhardt,2019-05-16,2022,3.9,661.0,761.0,3.0,283687.5
7:01.3,Dodge Viper ACR (2017),Lance David Arnold,2017-09-01,2017,8.4,645.0,813.0,3.3,107261.5
7:03.92,Porsche 911 Turbo S (992.2),Jörg Bergmeister,2024-09-11,2022,3.8,640.0,800.0,2.6,176800.0
7:04.74,"Porsche 911 GT3 (992.1, pre-facelift, 2021, N/A 4.0, 510 PS)",Christian Gebhardt,2021-05-05,2022,3.0,379.0,449.0,4.0,86020.0
7:05.298,Rimac Nevera,Martin Kodrić,2023-08-18,2022,,1914.0,2299.0,1.85,2040000.0
7:07.55,Porsche Taycan Turbo GT,Lars Kern,2024-01-02,2021,,750.0,1049.0,2.6,157250.0
7:08.34,McLaren 720S,Christian Gebhardt,2018-06-28,2021,4.0,710.0,770.0,2.7,253300.0
7:08.82,McLaren 600LT,Christian Gebhardt,2019-06-06,2021,3.8,592.0,620.0,2.8,204850.0
7:09.300,Porsche Cayman GT4 RS (982),Jörg Bergmeister,2021-09-17,2022,4.0,414.0,419.0,3.8,85170.0
7:10.92,Mercedes-AMG GT R (2017),Christian Gebhardt,2016-11-04,2021,4.0,577.0,700.0,3.5,155550.0
7:11.826,Chevrolet Corvette Z06 (2025),Aaron Link,2025-06,2023,5.5,625.0,881.0,2.6,72250.0
